name,ingredients
"Салат ""Корсар""","{'Креветки': '500 г', 'Яйцо куриное': '5 шт', 'Картофель': '4 шт', 'Кукуруза': '1 бан.', 'Колбаса': '300 г', 'Майонез': '100 г'}"
"Картофель, запечeнный с семечками ""Ароматный""","{'Картофель': '7 шт', 'Масло подсолнечное': '200 мл', 'Чеснок': '4 зуб.', 'Соевый соус': '50 мл', 'Соль': '2 ст. л.', 'Приправа': '2 ст. л.', 'Семечки подсолнуха': '2 ст. л.'}"
Запеканка на каждый день,"{'Фарш мясной': '300 г', 'Капуста квашеная': '300 г', 'Рис': '200 г', 'Молоко': '220 мл', 'Яйцо куриное': '4 шт', 'Специи': '2 ч. л.'}"
Печенье «Снежные сугробы»,"{'Масло сливочное': '130 г', 'Сметана': '70 г', 'Желток яичный': '2 шт', 'Разрыхлитель теста': '7 г', 'Мука пшеничная': '2 ст. л.', 'Белок яичный': '2 шт', 'Сахарная пудра': '2 ст. л.', 'Орехи грецкие': '50 г'}"
Шоколадный брауни с клюквой,"{'Шоколад темный': '100 г', 'Масло сливочное': '100 г', 'Яйцо куриное': '2 шт', 'Мука пшеничная': '120 г', 'Сахар': '100 г', 'Разрыхлитель теста': '0.5 ч. л.', 'Клюква': '150 г'}"
Блинчики с карамельной тыквой,"{'Молоко': '300 мл', 'Сахар коричневый': '3 ст. л.', 'Мука пшеничная': '70 г', 'Отруби': '3 ст. л.', 'Тыква': '300 г', 'Сироп ванильный': '50 мл', 'Масло растительное': '2 ст. л.', 'Аммоний пищевой': '0,5 ч. л.', 'Крахмал кукурузный': '2 ст. л.'}"
Зальцбургский норкельн,"{'Яйцо куриное': '5 шт', 'Сахар': '100 г', 'Мука пшеничная': '2 ст. л.', 'Крахмал кукурузный': '1 ст. л.', 'Соль': '0.1 ч. л.', 'Ванильная эссенция': '1 ч. л.', 'Цедра лимона': '1 ч. л.', 'Сливки': '100 мл', 'Сахарная пудра': '10 г', 'Апельсин': '1 шт', 'Разрыхлитель теста': '1 ч. л.'}"
Вариант подачи хлеба с сыром и чесноком,"{'Хлеб': '1 шт', 'Сыр твердый': '200 г', 'Зелень': '1 пуч.', 'Масло сливочное': '100 г', 'Чеснок': '2 зуб.'}"
Фаршированный перец с русскими клопсами,"{'Перец болгарский': '7 шт', 'Фарш куриный': '700 г', 'Лук репчатый': '1 шт', 'Морковь': '1 шт', 'Рис': '1 стак.', 'Яйцо куриное': '1 шт', 'Сметана': '100 г', 'Майонез': '100 г', 'Кетчуп': '3 ст. л.', 'Специи': 'по вкусу', 'Соль': 'по вкусу', 'Чеснок': '4 зуб.', 'Зелень': 'по вкусу'}"
"Салат ""Каприз моего любимого""","{'Крекер': '100 г', 'Сыр твердый': '120 г', 'Помидор': '3 шт', 'Чеснок': '2 зуб.', 'Майонез': '250 г'}"
Шарлотка с черешней без взбивания,"{'Черешня': '500 г', 'Сахар': '2 стак.', 'Яйцо куриное': '4 шт', 'Масло сливочное': '150 г', 'Ванилин': '1 г', 'Мука пшеничная': '2 стак.', 'Сода': '1 ч. л.', 'Уксус': '1 ст. л.'}"
Картофельный салат с сумахом,"{'Лук репчатый': '1 шт', 'Сумах': '2 ч. л.', 'Картофель': '700 г', 'Яйцо куриное': '4 шт', 'Авокадо': '1 шт', 'Сок лимонный': '1 ч. л.', 'Масло оливковое': '3 ст. л.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Лук зеленый': 'по вкусу'}"
Овощи с рисом на зиму,"{'Лук репчатый': '3 шт', 'Морковь': '3 шт', 'Перец болгарский': '5 шт', 'Помидор': '2 кг', 'Масло растительное': '300 мл', 'Рис': '100 г', 'Соль': '1 ст. л.', 'Сахар': '1 ст. л.', 'Кислота лимонная': 'по вкусу'}"
"Торт ""Успех""","{'Белок яичный': '4 шт', 'Сахарная пудра': '150 г', 'Миндаль': '20 г', 'Сливки': '100 мл', 'Сахар': '125 г', 'Желток яичный': '4 шт', 'Ванильный сахар': '2 ч. л.', 'Масло сливочное': '150 г'}"
"Морс ""От всяких хворей""","{'Малина': '1 стак.', 'Яблоко': '2 шт', 'Лимон': '0,5 шт', 'Вода': '1,5 л', 'Анис': '2 шт', 'Корица': '1 шт', 'Перец душистый': '3 шт', 'Мед': '4 ст. л.', 'Цедра апельсина': '1 шт'}"
Салат из морской капусты с чечевицей,"{'Капуста морская': '200 г', 'Чечевица': '2 ст. л.', 'Кукуруза': '2 ст. л.', 'Перец болгарский': '70 г', 'Чеснок': '2 зуб.', 'Сок лимонный': '2 ч. л.', 'Масло растительное': '1 ст. л.', 'Зелень': 'по вкусу'}"
"Бананово-творожный десерт ""В стиле тирамису""","{'Сырок творожный': '2 шт', 'Банан': '1 шт', 'Яйцо куриное': '2 шт', 'Стружка шоколадная': '15 г', 'Соль': '1 щепот.', 'Печенье': '5 шт'}"
Шиповник,"{'Шиповник': '1 стак.', 'Вода': '2 л', 'Сахар': 'по вкусу'}"
Жемчужный лук,"{'Лук репчатый': '2 кг', 'Лист лавровый': '8 шт', 'Перец черный': '12 шт', 'Перец душистый': '16 шт', 'Перец белый': '12 шт', 'Гвоздика': '4 шт', 'Вода': '1 л', 'Соль': '1 ст. л.', 'Сахар': '3 ст. л.', 'Семена горчицы': '2 ст. л.', 'Уксус': '250 мл'}"
Тефтели запечённые в сливках с горчицей,"{'Фарш куриный': '400 г', 'Лук красный': '1 шт', 'Чеснок': '2 зуб.', 'Яйцо куриное': '2 шт', 'Крупа манная': '1 ст. л.', 'Сыр творожный': '2 ст. л.', 'Горчица': '1 ч. л.', 'Соль': '0.5 ч. л.', 'Перец черный': '0.25 ч. л.', 'Сливки': '200 мл', 'Масло оливковое': '1 ст. л.'}"
Томлёная капуста на свином сале,"{'Сало': '100 г', 'Капуста белокочанная': '500 г', 'Морковь': '1 шт', 'Лук репчатый': '1 шт', 'Горошек зеленый': '0,5 бан.', 'Кукуруза': '0,5 бан.', 'Соевый соус': '50 мл', 'Перец черный': '0,25 ч. л.', 'Лист лавровый': '1 шт'}"
Пирог-запеканка клубнично-хлебный,"{'Хлеб': '200 г', 'Яйцо куриное': '3 шт', 'Сахар': '75 г', 'Клубника': '200 г', 'Масло сливочное': '90 г', 'Молоко': '200 мл'}"
